127.0.0.1 - - [18/Nov/2019:10:40:55 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:40:56 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:40:56 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:40:56 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:40:56 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:40:56 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:40:56 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:40:57 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:40:57 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:40:57 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:40:57 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:40:57 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:40:57 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:40:57 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:40:57 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:10:40:57 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:10:40:57 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:10:49:40 +0530] "GET /RestAPI/webapi/myresource/getEmpByUserPass/divija/fairy HTTP/1.1" 200 109
127.0.0.1 - - [18/Nov/2019:10:49:43 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 329
127.0.0.1 - - [18/Nov/2019:10:49:50 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:49:50 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:49:50 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:49:50 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:49:50 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:49:51 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
127.0.0.1 - - [18/Nov/2019:10:49:51 +0530] "GET /RestAPI/webapi/myresource/getUsers HTTP/1.1" 404 1078
